id,name,version,rarity,rate,start_date,end_date,is_rerun,is_limited,banner_image
179,Gentildonna,,3*,0.75,24/08/2024,10/09/2024,FALSE,TRUE,
180,Zenno Rob Roy,Autumn,3*,0.75,30/08/2024,10/09/2024,FALSE,TRUE,
181,Neo Universe,Autumn,3*,0.75,30/08/2024,10/09/2024,FALSE,TRUE,
182,Cesario,,3*,0.75,10/09/2024,30/09/2024,FALSE,TRUE,
183,Durandal,,3*,0.75,20/09/2024,30/09/2024,FALSE,TRUE,
184,Mayano Top Gun,Halloween,3*,0.75,30/09/2024,11/10/2024,FALSE,TRUE,
185,Seeking the Pearl,Halloween,3*,0.75,30/09/2024,11/10/2024,FALSE,TRUE,
186,Bubble Gum Fellow,,3*,0.75,11/10/2024,29/10/2024,FALSE,TRUE,
187,Biwa Hayahide,Mecha,3*,0.75,29/10/2024,18/11/2024,FALSE,TRUE,
188,Narita Taishin,Mecha,3*,0.75,08/11/2024,18/11/2024,FALSE,TRUE,
189,Air Messiah,,3*,0.75,18/11/2024,28/11/2024,FALSE,TRUE,
190,Admire Vega,Christmas,3*,0.75,28/11/2024,10/12/2024,FALSE,TRUE,
191,Narita Top Road,Christmas,3*,0.75,28/11/2024,10/12/2024,FALSE,TRUE,
192,Win Variation,,3*,0.75,10/12/2024,19/12/2024,FALSE,TRUE,
193,Grass Wonder,New Year,3*,0.75,19/12/2024,27/12/2024,FALSE,TRUE,
194,Mr. C.B.,New Year,3*,0.75,27/12/2024,10/01/2025,FALSE,TRUE,
195,Katsuragi Ace,New Year,3*,0.75,27/12/2024,10/01/2025,FALSE,TRUE,
196,Maruzensky,New Year,3*,0.75,10/01/2025,20/01/2025,FALSE,TRUE,
197,Furioso,,3*,0.75,20/01/2025,31/01/2025,FALSE,TRUE,
198,Yamanin Zephyr,Valentine,3*,0.75,31/01/2025,14/02/2025,FALSE,TRUE,
199,Aston Machan,Valentine,3*,0.75,31/01/2025,14/02/2025,FALSE,TRUE,
200,Tsurumaru Tsuyoshi,,2*,2.25,14/02/2025,24/02/2025,FALSE,TRUE,
201,Orfevre,,3*,0.75,24/02/2025,21/03/2025,FALSE,TRUE,
202,Gran Alegria,,3*,0.75,11/03/2025,21/03/2025,FALSE,TRUE,
203,No Reason,,3*,0.75,21/03/2025,31/03/2025,FALSE,TRUE,
204,Tanino Gimlet,Ballroom,3*,0.75,31/03/2025,10/04/2025,FALSE,TRUE,
205,Tap Dance City,Ballroom,3*,0.75,31/03/2025,10/04/2025,FALSE,TRUE,
206,Sirius Symboli,The Twinkle Legends,3*,0.75,10/04/2025,21/04/2025,FALSE,TRUE,
207,No Reason,,3*,0.75,10/04/2025,17/04/2025,TRUE,FALSE,
208,Fenomeno,,3*,0.75,21/04/2025,30/04/2025,FALSE,TRUE,
209,Smart Falcon,Parade,3*,0.75,30/04/2025,12/05/2025,FALSE,TRUE,
210,Copano Rickey,Parade,3*,0.75,30/04/2025,12/05/2025,FALSE,TRUE,
